Name,URL,Visibility,Created At,Last Push,Description
gshoppingcontent,https://github.com/productsupcom/gshoppingcontent,Private,2014-05-12T11:10:20Z,2022-04-21T13:09:54Z,Google Content API for Shopping - PHP (Composer Package)
affilinet_migration,https://github.com/productsupcom/affilinet_migration,Private,2014-06-18T07:13:37Z,2015-01-08T15:40:49Z,
Gearman,https://github.com/productsupcom/Gearman,Private,2014-06-18T11:06:27Z,2022-04-21T13:09:20Z,
processing-gearman-worker,https://github.com/productsupcom/processing-gearman-worker,Private,2014-07-04T08:56:35Z,2024-01-23T04:48:35Z,Gearman client and worker to distribute processing jobs
ansible_playbooks,https://github.com/productsupcom/ansible_playbooks,Private,2014-08-21T12:54:30Z,2024-02-28T09:24:02Z,Ansible Playbooks for Infrastructure
ansible-module-ghpubkey,https://github.com/productsupcom/ansible-module-ghpubkey,Public,2014-08-28T15:30:14Z,2022-04-21T12:55:45Z,Ansible module for adding or removing public keys to Github
Billing,https://github.com/productsupcom/Billing,Private,2014-09-02T15:21:05Z,2023-11-16T16:19:35Z,Billing library for Productsup
company,https://github.com/productsupcom/company,Private,2014-09-05T08:56:13Z,2022-04-21T13:06:51Z,
Insight2,https://github.com/productsupcom/Insight2,Private,2014-09-24T09:27:36Z,2024-02-28T05:09:39Z,Data-View and Data-Edit tool for the Productsup Platform
github-services,https://github.com/productsupcom/github-services,Public,2014-10-07T10:48:20Z,2022-04-21T13:09:33Z,Official GitHub Services Integration - You can set these up in your repository settings screen under Service Hooks
system,https://github.com/productsupcom/system,Private,2014-10-23T14:36:15Z,2022-04-21T13:18:56Z,
ImageCDN,https://github.com/productsupcom/ImageCDN,Private,2014-10-28T09:42:26Z,2022-04-21T13:10:30Z,
Platform-API-Client,https://github.com/productsupcom/Platform-API-Client,Public,2014-10-28T10:04:12Z,2022-04-21T13:16:47Z,
Platform-API-Server,https://github.com/productsupcom/Platform-API-Server,Private,2014-10-29T16:04:37Z,2024-02-28T07:47:14Z,Productsup Platform API Server for product upload and automated platform tasks
urlshortener,https://github.com/productsupcom/urlshortener,Private,2014-10-31T09:51:23Z,2022-04-21T13:19:24Z,
google-api-php-client,https://github.com/productsupcom/google-api-php-client,Public,2014-11-04T14:12:07Z,2022-04-21T13:09:50Z,A PHP client library for accessing Google APIs
nginxtraffic,https://github.com/productsupcom/nginxtraffic,Private,2014-11-24T09:21:15Z,2022-04-21T13:15:12Z,
Versionist,https://github.com/productsupcom/Versionist,Private,2014-11-25T09:15:38Z,2015-07-31T13:39:29Z,
boxes,https://github.com/productsupcom/boxes,Private,2014-12-08T20:41:34Z,2023-12-18T15:12:43Z,
PriceApiClient,https://github.com/productsupcom/PriceApiClient,Private,2015-01-07T13:26:17Z,2022-04-21T13:17:06Z,Connector to the API from https://www.priceapi.com/ - see https://productsup.atlassian.net/browse/CPU-389 for more details
intelliad,https://github.com/productsupcom/intelliad,Private,2015-01-13T14:56:00Z,2022-10-07T09:58:02Z,
urltester,https://github.com/productsupcom/urltester,Private,2015-01-27T09:43:14Z,2022-04-21T13:19:26Z,
elasticfiltering,https://github.com/productsupcom/elasticfiltering,Private,2015-02-13T15:21:28Z,2022-04-21T13:08:34Z,
custom-import,https://github.com/productsupcom/custom-import,Private,2015-02-20T09:42:57Z,2022-04-21T13:07:11Z,
GearmanManager,https://github.com/productsupcom/GearmanManager,Public,2015-04-01T13:32:58Z,2022-05-06T11:30:26Z,PHP daemon for managing gearman workers
kill-close-wait-connections,https://github.com/productsupcom/kill-close-wait-connections,Public,2015-04-07T12:56:16Z,2022-04-21T13:11:10Z,Kills all TCP CLOSE_WAIT connections
AbstractApiServer,https://github.com/productsupcom/AbstractApiServer,Private,2015-04-15T08:48:08Z,2022-04-21T12:52:12Z,generic code for different api servers
IoApiServer,https://github.com/productsupcom/IoApiServer,Private,2015-04-16T15:47:59Z,2022-04-21T13:10:41Z,see PROD-100
TZCron,https://github.com/productsupcom/TZCron,Private,2015-04-24T07:18:58Z,2022-04-21T13:19:21Z,Cron-like daemon to trigger jobs calculated on timezone
jenkins,https://github.com/productsupcom/jenkins,Public,2015-04-24T10:01:08Z,2022-04-21T13:10:46Z,Jenkins Continuous Integration Server
IFTTT-Client,https://github.com/productsupcom/IFTTT-Client,Private,2015-04-27T12:10:45Z,2022-11-04T08:53:39Z,
IFTTT-Server,https://github.com/productsupcom/IFTTT-Server,Private,2015-04-27T12:16:26Z,2022-12-21T12:07:32Z,
jenkins-php-api,https://github.com/productsupcom/jenkins-php-api,Public,2015-05-29T07:28:48Z,2023-10-05T15:18:39Z,PHP API for Jenkins
jenkins-ansible,https://github.com/productsupcom/jenkins-ansible,Private,2015-06-02T14:50:03Z,2022-04-21T13:10:50Z,
DestinationsWrapper,https://github.com/productsupcom/DestinationsWrapper,Private,2015-06-03T15:31:44Z,2022-04-21T13:07:47Z,
cpu-control,https://github.com/productsupcom/cpu-control,Private,2015-06-04T10:47:57Z,2022-04-21T13:07:04Z,
DestinationsPhar,https://github.com/productsupcom/DestinationsPhar,Private,2015-06-04T13:53:47Z,2022-04-21T13:07:44Z,
api-docs,https://github.com/productsupcom/api-docs,Private,2015-06-09T07:53:55Z,2020-05-18T08:52:27Z,
destination-sellercenter,https://github.com/productsupcom/destination-sellercenter,Private,2015-06-10T08:17:20Z,2022-04-21T13:07:42Z,
site-killer,https://github.com/productsupcom/site-killer,Private,2015-06-19T09:57:12Z,2022-04-21T13:18:32Z,
logger,https://github.com/productsupcom/logger,Private,2015-07-06T15:55:52Z,2022-01-05T09:33:56Z,PSR-3 compatible Logger
ProductApi,https://github.com/productsupcom/ProductApi,Private,2015-07-07T09:58:16Z,2022-04-21T13:17:28Z,see PROD-107
pda-proxy,https://github.com/productsupcom/pda-proxy,Private,2015-07-18T07:52:07Z,2022-04-21T13:15:31Z,
JiraApiClient,https://github.com/productsupcom/JiraApiClient,Public,2015-08-24T09:24:52Z,2022-04-21T13:11:01Z,PHP Library to process calls to JIRA's REST API
bin-amazon-marketplace,https://github.com/productsupcom/bin-amazon-marketplace,Private,2015-08-28T12:22:38Z,2022-04-21T12:56:49Z,
Tracking,https://github.com/productsupcom/Tracking,Private,2015-09-14T15:08:08Z,2022-04-21T13:19:05Z,tracking experiments
rewot,https://github.com/productsupcom/rewot,Private,2015-09-16T21:28:44Z,2022-04-21T13:18:05Z,
ansible-dyninv-mysql,https://github.com/productsupcom/ansible-dyninv-mysql,Public,2015-09-30T09:56:08Z,2023-04-14T08:30:47Z,Ansible Dynamic Inventory for MySQL
IoCore,https://github.com/productsupcom/IoCore,Private,2015-10-12T09:09:18Z,2022-04-21T13:10:44Z,
net_gearman,https://github.com/productsupcom/net_gearman,Public,2015-10-15T19:45:21Z,2022-04-21T13:15:05Z,A PHP interface for Danga's Gearman
oauth-rest-playground,https://github.com/productsupcom/oauth-rest-playground,Private,2015-10-30T11:12:28Z,2023-04-19T18:26:47Z,
bin-doubleclick-keywords,https://github.com/productsupcom/bin-doubleclick-keywords,Private,2015-11-03T20:03:28Z,2022-04-21T12:59:43Z,
bin-wrapper,https://github.com/productsupcom/bin-wrapper,Private,2015-11-05T12:51:39Z,2022-04-21T13:05:50Z,
bin-merchantcenter-products,https://github.com/productsupcom/bin-merchantcenter-products,Private,2015-11-06T20:22:12Z,2022-04-21T13:02:14Z,
bin-magento,https://github.com/productsupcom/bin-magento,Private,2015-11-09T13:05:46Z,2022-04-21T13:01:59Z,Magento 1.x integration
stalemate,https://github.com/productsupcom/stalemate,Private,2015-11-10T14:54:02Z,2023-10-04T12:21:33Z,"Checks if sites are stale and report on their status, deleting sites older then 24 hours from tmp if not running."
bin-json2csv,https://github.com/productsupcom/bin-json2csv,Private,2015-11-11T13:12:05Z,2022-04-21T13:01:40Z,
bin-xslt,https://github.com/productsupcom/bin-xslt,Private,2015-11-16T10:01:41Z,2022-11-24T11:51:06Z,
bin-xtcommerce,https://github.com/productsupcom/bin-xtcommerce,Private,2015-11-18T09:06:44Z,2022-04-21T13:06:05Z,
bin-3dcart,https://github.com/productsupcom/bin-3dcart,Private,2015-11-18T09:46:05Z,2022-04-21T12:56:37Z,
bin-woocommerce,https://github.com/productsupcom/bin-woocommerce,Private,2015-11-20T20:52:27Z,2022-05-05T09:00:45Z,
auto-process-trigger,https://github.com/productsupcom/auto-process-trigger,Private,2015-11-23T08:08:24Z,2022-04-21T12:56:24Z,
bin-bigcommerce,https://github.com/productsupcom/bin-bigcommerce,Private,2015-11-24T10:05:08Z,2022-04-21T12:57:20Z,Exports products from a given BigCommerce shop
bin-shopify,https://github.com/productsupcom/bin-shopify,Private,2015-11-24T12:11:38Z,2023-03-06T10:54:05Z,
bin-bigcartel,https://github.com/productsupcom/bin-bigcartel,Private,2015-11-25T10:01:36Z,2022-04-21T12:57:18Z,
bin-lemonstand,https://github.com/productsupcom/bin-lemonstand,Private,2015-11-25T16:47:44Z,2022-04-21T13:01:52Z,
bin-pinnaclecart,https://github.com/productsupcom/bin-pinnaclecart,Private,2015-11-26T10:39:36Z,2022-04-21T13:02:55Z,
bin-zencart,https://github.com/productsupcom/bin-zencart,Private,2015-11-27T10:22:15Z,2022-04-21T13:06:18Z,
live-tracking,https://github.com/productsupcom/live-tracking,Private,2015-11-27T16:28:22Z,2022-04-21T13:13:22Z,Node.JS Server that connects to Kafka to provide Websockets into Kafka Topics
bin-google-drive,https://github.com/productsupcom/bin-google-drive,Private,2015-12-01T10:33:47Z,2022-04-21T13:00:51Z,
